,location,total_sqft,bath,price,bhk
0,1.Gorakhpur,2850.0,4.0,428.0,4
1,1.Gorakhpur,1630.0,3.0,194.0,3
2,1.Gorakhpur,1875.0,2.0,235.0,3
3,1.Gorakhpur,1200.0,2.0,130.0,3
4,1.Gorakhpur,1235.0,2.0,148.0,2
5,1.Gorakhpur,2750.0,4.0,413.0,4
6,1.Gorakhpur,2450.0,4.0,368.0,4
7,10.Prayagraj,1167.0,2.0,43.76,2
8,10.Prayagraj,1000.0,2.0,55.0,2
9,10.Prayagraj,1141.0,2.0,42.79,2
11,10.Prayagraj,1200.0,2.0,67.0,2
12,10.Prayagraj,1200.0,2.0,58.0,2
13,10.Prayagraj,1151.0,2.0,43.1,2
14,10.Prayagraj,1141.0,2.0,42.75,2
15,10.Prayagraj,900.0,2.0,48.0,2
16,10.Prayagraj,1749.0,4.0,90.0,4
17,10.Prayagraj,1151.0,2.0,42.9,2
19,10.Prayagraj,1250.0,2.0,45.0,2
20,10.Prayagraj,1151.0,2.0,43.16,2
21,10.Prayagraj,1200.0,2.0,58.0,2
22,10.Prayagraj,1200.0,2.0,66.0,3
23,10.Prayagraj,1415.0,2.0,74.0,3
24,10.Prayagraj,1200.0,2.0,50.0,2
25,10.Prayagraj,1141.0,2.0,50.0,2
28,11.Aligarh,656.0,2.0,22.0,2
29,11.Aligarh,620.0,2.0,22.0,2
30,11.Aligarh,600.0,1.0,16.5,1
31,11.Aligarh,925.0,2.0,40.0,2
32,11.Aligarh,530.0,1.0,18.0,1
33,11.Aligarh,1800.0,3.0,68.0,3
35,11.Aligarh,351.0,1.0,16.0,1
36,11.Aligarh,1035.0,2.0,38.3,2
37,11.Aligarh,888.0,2.0,34.0,2
41,11.Aligarh,1200.0,2.0,36.0,4
42,11.Aligarh,766.0,2.0,28.0,2
43,11.Aligarh,967.0,2.0,45.0,3
44,11.Aligarh,620.0,1.0,23.5,2
45,11.Aligarh,1150.0,3.0,45.0,3
48,11.Aligarh,400.0,1.0,11.5,1
49,11.Aligarh,456.0,1.0,15.0,1
52,11.Aligarh,2400.0,4.0,95.0,3
56,11.Aligarh,420.0,1.0,12.5,1
57,11.Aligarh,614.0,1.0,28.0,2
58,11.Aligarh,1140.0,2.0,52.0,2
59,11.Aligarh,625.0,1.0,25.0,2
60,11.Moradabad,500.0,1.0,14.0,1
61,11.Moradabad,1100.0,2.0,31.5,2
62,11.Moradabad,982.0,2.0,24.55,2
63,11.Moradabad,500.0,2.0,14.0,1
64,11.Moradabad,900.0,2.0,22.5,2
65,11.Moradabad,908.0,2.0,26.0,2
66,11.Moradabad,870.0,2.0,36.0,2
67,11.Moradabad,937.0,2.0,35.0,2
68,11.Moradabad,960.0,2.0,37.0,2
69,11.Moradabad,500.0,1.0,14.0,1
70,11.Moradabad,1000.0,2.0,29.7,2
71,11.Moradabad,850.0,2.0,25.99,2
72,11.Moradabad,902.0,2.0,25.26,2
73,11.Moradabad,1470.0,3.0,54.0,3
74,11.Moradabad,810.0,2.0,25.5,2
75,11.Moradabad,890.0,2.0,27.0,2
76,11.Moradabad,1200.0,2.0,36.0,2
78,11.Moradabad,1319.0,3.0,42.0,3
79,11.Moradabad,1000.0,2.0,25.0,2
80,11.Moradabad,902.0,2.0,25.0,2
81,11.Moradabad,930.0,2.0,25.99,2
82,11.Moradabad,1074.0,2.0,26.85,2
83,11.Moradabad,500.0,1.0,14.0,1
84,11.Moradabad,1010.0,2.0,38.0,2
85,11.Moradabad,992.0,2.0,24.8,2
